Sample ID,Sample_Plate,Sample_Well,Sample Group,Sentrix Barcode,Sample Section,Detected CpG (0.01),Detected CpG (0.05),Signal Average GRN,Signal Average RED,Signal P05 GRN,Signal P05 RED,Signal P25 GRN,Signal P25 RED,Signal P50 GRN,Signal P50 RED,Signal P75 GRN,Signal P75 RED,Signal P95 GRN,Signal P95 RED
WG3007108-DNAA01-METHYL000-P2445-1109081807,WG7000172-MSA4,A01,206685390167_R01C01,206685390167,R01C01,863641,864231,460.4341,2386.005,60,93,99,797,174,2090,418,3619,2167,5807
WG3007108-DNAB01-P2445-S1199_DNA_6-1-0414962529,WG7000172-MSA4,B01,206685390167_R02C01,206685390167,R02C01,864867,865025,1225.291,1762.93,54,132,143,394,1009,925,2062,2559,3259,5894
WG3007108-DNAC01-P2445-S1199_DNA_5-1-0414960579,WG7000172-MSA4,C01,206685390167_R03C01,206685390167,R03C01,864788,865092,1458.77,1996.954,51,130,158,431,1249,1040,2478,2939,3788,6688
WG3007108-DNAD01-P2445-S1199_DNA_2-1-0414962531,WG7000172-MSA4,D01,206685390167_R04C01,206685390167,R04C01,864870,865114,2020.038,2595.108,65,175,221,583,1813,1404,3445,3873,5065,8463
WG3007108-DNAE01-P2445-S1199_DNA_4-1-0414962532,WG7000172-MSA4,E01,206685390167_R05C01,206685390167,R05C01,864950,865149,2020.131,2765.189,60,182,230,609,1786,1478,3448,4123,5096,9099
WG3007108-DNAF01-P2445-S1199_DNA_1-1-0414962533,WG7000172-MSA4,F01,206685390167_R06C01,206685390167,R06C01,864822,865137,2288.654,3334.152,54,184,247,742,2124,1847,3924,5098,5597,10672
WG3007108-DNAG01-METHYL100-P2445-0414933250,WG7000172-MSA4,G01,206685390167_R07C01,206685390167,R07C01,864798,864986,2911.137,2513.229,33,273,985,710,3109,1263,4509,2213,5961,12407
WG3007108-DNAH01-P2445-S1199_DNA_3-1-0414962535,WG7000172-MSA4,H01,206685390167_R08C01,206685390167,R08C01,864735,865029,2494.318,4398.726,60,236,262,977,2189,2553,4290,6861,6317,13704
