"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","37deg","37deg.1","37deg.2","32deg","32deg.1","32deg.2"
"ENSG00000100650",9544.03365894514,1.85167805286308,0.165458403603821,11.1911997972421,4.50298770653302e-29,6.55454890562946e-25,"SRSF5",3916.48569509916,4419.89300380808,4087.38822090323,14689.6191770374,14543.8374448505,15606.9784119725
"ENSG00000181544",1796.92267697945,1.66763121687244,0.201793161064095,8.26406211230695,1.40797293562967e-16,1.02472270255127e-12,"FANCB",952.532794427486,938.002260357257,689.683372261587,2766.09525588876,2824.11855969865,2611.10381924296
"ENSG00000276256",493.310145465836,-1.5118310697714,0.212716544655387,-7.10725661805315,1.18372221195416e-12,5.74342017240159e-09,"AC011043.1",726.626483768645,784.825420650102,679.540969728328,274.885153775524,219.618128840288,274.364716032128
"ENSG00000197245",2184.50964718384,1.1287524963018,0.179712427372797,6.28088169974079,3.36658248038483e-10,1.12486196132237e-06,"FAM110D",1476.54227791449,1269.06188165982,1367.19586148326,2738.70817414729,3195.12394239972,3060.42574549847
"ENSG00000274750",35.2082424517915,3.50602510216544,0.561588636614494,6.24304851198792,4.29123733846373e-10,1.12486196132237e-06,"HIST1H3E",3.88155172953336,9.05884535902531,4.05696101330345,78.1038997812374,56.5036933424041,59.6445034852452
"ENSG00000102317",7150.12256678163,1.08911228780982,0.174791243058405,6.23093164596296,4.63669398731396e-10,1.12486196132237e-06,"RBM3",4715.30904103712,4957.65900557567,4043.77589001021,9821.8189815808,9365.75369835887,9996.41878412709
"ENSG00000157800",905.773102742311,1.152623561179,0.190290136015937,6.05719027434226,1.38519705447898e-09,2.88041833214229e-06,"SLC37A3",542.640931788763,620.942672791371,522.333730462819,1341.96700533217,1183.37923792582,1223.37503815292
"ENSG00000175322",1285.05034240555,1.48958475271597,0.251167872031731,5.93063412396862,3.01766965292724e-09,5.49064993350111e-06,"ZNF519",539.535690405137,617.648547206271,868.189656846939,1757.84491325824,1586.36784327353,2340.71540344318
"ENSG00000080371",584.63769178112,1.2411197602365,0.210681710320233,5.89097059422016,3.83933876641396e-09,6.20949056488018e-06,"RAB21",300.432103865882,381.295036475338,361.069530184007,781.038997812374,765.465128676342,918.525353672776
"ENSG00000165480",1735.05547120189,1.46824045627094,0.253798791315362,5.7850569290007,7.24877770770594e-09,1.05513208313368e-05,"SKA3",1059.66362216261,1108.47325938619,594.344788448956,2629.15984718139,2416.86552466472,2601.82578536747
"ENSG00000253166",120.012761889854,1.65612133246893,0.290023738593469,5.71029578647816,1.12779990536616e-08,1.4923868565918e-05,"RP11-585F1.6",65.9863794020671,48.5883523802267,58.8259346929,173.451517695995,192.965443301418,180.258943866519
"ENSG00000160781",40.9936183148833,3.01467534054206,0.532716846155882,5.65905764440554,1.52206429355883e-08,1.84626398808687e-05,"PAQR6",10.0920344967867,4.11765698137514,13.1851232932362,97.3762906363479,57.5698007639589,63.6208037175949
"ENSG00000100982",299.751247088462,1.26741393710215,0.230246693364632,5.50459126505238,3.7002573732839e-08,4.14314971734773e-05,"PCIF1",160.696241602681,168.823936236381,198.791089651869,379.361798937439,468.021158062555,422.813258039849
"ENSG00000108932",62.5637535797458,2.08244448147067,0.379980026462121,5.48040511723649,4.24353043311654e-08,4.4120592131746e-05,"SLC16A6",20.1840689935735,21.4118163031507,30.4272075997759,91.2902724715762,98.0818827830411,113.987273327357
"ENSG00000198553",37.9810719504576,2.55491888017621,0.476262219867072,5.3645214203413,8.11641280035924e-08,7.8761669814686e-05,"KCNRG",13.1972758804134,11.5294395478504,8.1139220266069,60.8601816477174,58.6359081855137,75.5497044146439
"ENSG00000176401",132.189429858262,1.58776130376119,0.305114988923373,5.20381286204178,1.95240619848089e-07,0.000177620153906799,"EID2B",56.670655251187,63.4119175131772,78.0964995060914,186.637890386334,163.114435497884,245.205180994897
"ENSG00000133422",269.892730848139,-1.26416615924278,0.24498076369486,-5.16026703556767,2.46597849158518e-07,0.000211145781903023,"MORC2",335.366069431682,357.412625983362,451.336912730009,172.437181335199,160.982220654774,141.821374953805
"ENSG00000124193",2340.2175892478,0.963588915764824,0.189855257140388,5.07538706211489,3.86707992282264e-07,0.000312717863092257,"SRSF6",1728.06682998825,1694.00408213773,1336.76865388349,3260.07706359606,3069.32326665625,2953.06563922503
"ENSG00000147036",1042.73358224375,1.05826509292124,0.211018085102256,5.01504452762148,5.30211851508212e-07,0.000406198090029133,"LANCL3",788.731311441178,598.707325091946,642.014080355271,1283.13549640604,1623.68160302795,1320.13167714009
"ENSG00000186501",2295.502878077,0.827063945857511,0.165673808066801,4.99212250571334,5.97193550951655e-07,0.00043127053203088,"TMEM222",1617.0544505236,1704.70999028931,1643.0692103879,2854.34251927795,2991.49742488275,2962.34367310051
"ENSG00000172197",556.684539903649,1.00881684661106,0.202403073262132,4.98419727700749,6.22195738709018e-07,0.00043127053203088,"MBOAT1",405.234000563283,329.412558510011,374.254653477243,721.193152525452,799.580566166096,710.432308179809
"ENSG00000228782",462.551479814394,1.47361833500227,0.301274232021349,4.89128567390337,1.00179439845503e-06,0.000650069364316994,"CTD-2026D20.3",156.038379527241,257.765327034084,321.514160304299,640.046243661828,543.714784992945,856.229983365964
"ENSG00000166669",796.403633778766,1.19135551959719,0.243812516016345,4.88635915441404,1.02717747865422e-06,0.000650069364316994,"ATF7IP2",513.917448990216,551.766035504269,388.454017023805,1095.48326965891,874.208085674931,1354.59294582046
